Time	Author	Year	Study	Region	Taxa	Fresh	Antarctic	S.Middle	Tropics	N.Middle	Arctic	Mtn	Island	Threatened	Endemic	Model.Type	Non.clim.threat	Land.Use.Change	Dispersal	Sp.int	Physiology	Adaptation	Pop.diff	Demography.LH	Earth.Sys	Other	Other.Habitat	Disp.Mod	Scenario	Climate.Mod	Pre.Ind.Rise	Year.Pred	Total.N	WtSp	version	concat	ave.percent	max.percent	min.percent	adj.percent
New	Agudelo	2019	Agudelo2019	Samerica	Amphibians	Y	N	N	Y	N	N	Y	N	Y	Y	SDM	Y	N	N	N	N	N	N	N	N	N	N	None	RCP4.5	IPCC2013	1.85	2050	30	30	1	Agudelo2019SamericaAmphibiansYSDMYNNNNNNNNNNNoneRCP4.5IPCC20131.8520501	0.011111111	0.033333333	0	0.026666667
New	Agudelo	2019	Agudelo2019	Samerica	Amphibians	Y	N	N	Y	N	N	Y	N	Y	Y	SDM	Y	N	N	N	N	N	N	N	N	N	N	None	RCP8.5	IPCC2013	2.31	2050	30	30	1	Agudelo2019SamericaAmphibiansYSDMYNNNNNNNNNNNoneRCP8.5IPCC20132.3120501	0.2	0.333333333	0.133333333	0.293333333
New	Agudelo	2019	Agudelo2019	Samerica	Amphibians	Y	N	N	Y	N	N	Y	N	Y	Y	SDM	Y	Y	N	N	N	N	N	N	N	N	N	None	RCP4.5	IPCC2013	1.85	2050	30	30	1	Agudelo2019SamericaAmphibiansYSDMYYNNNNNNNNNNoneRCP4.5IPCC20131.8520501	0.055555556	0.1	0.033333333	0.086666667
New	Agudelo	2019	Agudelo2019	Samerica	Amphibians	Y	N	N	Y	N	N	Y	N	Y	Y	SDM	Y	Y	N	N	N	N	N	N	N	N	N	None	RCP4.5	IPCC2013	1.85	2050	30	30	2	Agudelo2019SamericaAmphibiansYSDMYYNNNNNNNNNNoneRCP4.5IPCC20131.8520502	0.055555556	0.1	0.033333333	0.086666667
New	Agudelo	2019	Agudelo2019	Samerica	Amphibians	Y	N	N	Y	N	N	Y	N	Y	Y	SDM	Y	Y	N	N	N	N	N	N	N	N	N	None	RCP8.5	IPCC2013	2.31	2050	30	30	1	Agudelo2019SamericaAmphibiansYSDMYYNNNNNNNNNNoneRCP8.5IPCC20132.3120501	0.3	0.5	0.2	0.44
New	Agudelo	2019	Agudelo2019	Samerica	Amphibians	Y	N	N	Y	N	N	Y	N	Y	Y	SDM	Y	Y	N	N	N	N	N	N	N	N	N	None	RCP8.5	IPCC2013	2.31	2050	30	30	2	Agudelo2019SamericaAmphibiansYSDMYYNNNNNNNNNNoneRCP8.5IPCC20132.3120502	0.255555556	0.433333333	0.166666667	0.38
New	Aguiar	2016	Aguiar2016	Samerica	Mammals	N	N	N	Y	N	N	N	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	N	None	RCP4.5	IPCC2013	1.85	2050	114	114	1	Aguiar2016SamericaMammalsNSDMNNNNNNNNNNNNoneRCP4.5IPCC20131.8520501	0.131578947	0.315789474	0	0.264473684
New	Aguiar	2016	Aguiar2016	Samerica	Mammals	N	N	N	Y	N	N	N	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	RCP4.5	IPCC2013	1.85	2050	114	114	1	Aguiar2016SamericaMammalsNSDMNNNNNNNNNNNUniversalRCP4.5IPCC20131.8520501	0.096491228	0.245614035	0	0.203070175
New	Ahmadi	2019	Ahmadi2019	World	Reptiles	N	N	N	Y	Y	N	Y	S	Y	Y	SDM	Y	N	N	N	N	N	N	N	N	N	N	None	RCP4.5	IPCC2013	1.85	2050	11	11	1	Ahmadi2019WorldReptilesYSDMYNNNNNNNNNNNoneRCP4.5IPCC20131.8520501	0	0	0	0
New	Ahmadi	2019	Ahmadi2019	World	Reptiles	N	N	N	Y	Y	N	Y	S	Y	Y	SDM	Y	N	N	N	N	N	N	N	N	N	N	None	RCP4.5	IPCC2013	2.1	2070	11	11	1	Ahmadi2019WorldReptilesYSDMYNNNNNNNNNNNoneRCP4.5IPCC20132.120701	0	0	0	0
New	Ahmadi	2019	Ahmadi2019	World	Reptiles	N	N	N	Y	Y	N	Y	S	Y	Y	SDM	Y	N	N	N	N	N	N	N	N	N	N	None	RCP8.5	IPCC2013	2.31	2050	11	11	1	Ahmadi2019WorldReptilesYSDMYNNNNNNNNNNNoneRCP8.5IPCC20132.3120501	0.121212121	0.363636364	0	0.290909091
New	Ahmadi	2019	Ahmadi2019	World	Reptiles	N	N	N	Y	Y	N	Y	S	Y	Y	SDM	Y	N	N	N	N	N	N	N	N	N	N	None	RCP8.5	IPCC2013	3.21	2070	11	11	1	Ahmadi2019WorldReptilesYSDMYNNNNNNNNNNNoneRCP8.5IPCC20133.2120701	0.242424242	0.363636364	0	0.345454545
New	Ahmadi	2019	Ahmadi2019	World	Reptiles	N	N	N	Y	Y	N	Y	S	Y	Y	SDM	Y	N	N	N	N	N	N	N	N	N	N	Universal	RCP4.5	IPCC2013	1.85	2050	11	11	1	Ahmadi2019WorldReptilesYSDMYNNNNNNNNNNUniversalRCP4.5IPCC20131.8520501	0	0	0	0
New	Ahmadi	2019	Ahmadi2019	World	Reptiles	N	N	N	Y	Y	N	Y	S	Y	Y	SDM	Y	N	N	N	N	N	N	N	N	N	N	Universal	RCP4.5	IPCC2013	2.1	2070	11	11	1	Ahmadi2019WorldReptilesYSDMYNNNNNNNNNNUniversalRCP4.5IPCC20132.120701	0	0	0	0
New	Ahmadi	2019	Ahmadi2019	World	Reptiles	N	N	N	Y	Y	N	Y	S	Y	Y	SDM	Y	N	N	N	N	N	N	N	N	N	N	Universal	RCP8.5	IPCC2013	2.31	2050	11	11	1	Ahmadi2019WorldReptilesYSDMYNNNNNNNNNNUniversalRCP8.5IPCC20132.3120501	0.121212121	0.363636364	0	0.290909091
New	Ahmadi	2019	Ahmadi2019	World	Reptiles	N	N	N	Y	Y	N	Y	S	Y	Y	SDM	Y	N	N	N	N	N	N	N	N	N	N	Universal	RCP8.5	IPCC2013	3.21	2070	11	11	1	Ahmadi2019WorldReptilesYSDMYNNNNNNNNNNUniversalRCP8.5IPCC20133.2120701	0.242424242	0.363636364	0	0.345454545
New	Alagador	2022	Alagador2022	Europe	Amphibians	Y	N	N	N	Y	N	S	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	Y	Fixed	SSP5-8.5	IPCC2021	2.55	2050	27	27	1	Alagador2022EuropeAmphibiansNSDMNNNNNNNNNNYFixedSSP5-8.5IPCC20212.5520501	0	0	0	0
New	Alagador	2022	Alagador2022	Europe	Amphibians	Y	N	N	N	Y	N	S	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	Y	Fixed	SSP5-8.5	IPCC2021	4.25	2080	27	27	1	Alagador2022EuropeAmphibiansNSDMNNNNNNNNNNYFixedSSP5-8.5IPCC20214.2520801	0.012345679	0.037037037	0	0.02962963
New	Alagador	2022	Alagador2022	Europe	Amphibians	Y	N	N	N	Y	N	S	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	Y	None	SSP5-8.5	IPCC2021	2.55	2050	27	27	1	Alagador2022EuropeAmphibiansNSDMNNNNNNNNNNYNoneSSP5-8.5IPCC20212.5520501	0.012345679	0.037037037	0	0.02962963
New	Alagador	2022	Alagador2022	Europe	Amphibians	Y	N	N	N	Y	N	S	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	Y	None	SSP5-8.5	IPCC2021	4.25	2080	27	27	1	Alagador2022EuropeAmphibiansNSDMNNNNNNNNNNYNoneSSP5-8.5IPCC20214.2520801	0.037037037	0.074074074	0	0.064814815
New	Alagador	2022	Alagador2022	Europe	Amphibians	Y	N	N	N	Y	N	S	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	Y	Universal	SSP5-8.5	IPCC2021	2.55	2050	27	27	1	Alagador2022EuropeAmphibiansNSDMNNNNNNNNNNYUniversalSSP5-8.5IPCC20212.5520501	0	0	0	0
New	Alagador	2022	Alagador2022	Europe	Amphibians	Y	N	N	N	Y	N	S	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	Y	Universal	SSP5-8.5	IPCC2021	4.25	2080	27	27	1	Alagador2022EuropeAmphibiansNSDMNNNNNNNNNNYUniversalSSP5-8.5IPCC20214.2520801	0	0	0	0
Original	Albouy	2013	Albouy2013	Marine	Fish	N	N	N	N	Y	N	N	N	N	Y	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	A2	CNRM-CM3	4.14	2090	59	59	1	Albouy2013MarineFishYSDMNNNNNNNNNNNUniversalA2CNRM-CM34.1420901	0.406779661	0.406779661	0.406779661	0.406779661
New	Albouy	2014	Albouy2014	Marine	Fish	N	N	N	N	Y	N	N	N	N	Y	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	A2	IPCC2001	3.62	2090	256	256	1	Albouy2014MarineFishYSDMNNNNNNNNNNNUniversalA2IPCC20013.6220901	0.2109375	0.2109375	0.2109375	0.2109375
New	Allen	2016	Allen2016	Namerica	Plants	N	N	N	N	Y	N	Y	N	Y	Y	SDM	N	N	N	N	N	N	N	N	N	N	N	None	RCP2.6	CCSM4	1.55	2050	6	6	1	Allen2016NamericaPlantsYSDMNNNNNNNNNNNNoneRCP2.6CCSM41.5520501	0.555555556	1	0.166666667	0.883333333
New	Allen	2016	Allen2016	Namerica	Plants	N	N	N	N	Y	N	Y	N	Y	Y	SDM	N	N	N	N	N	N	N	N	N	N	N	None	RCP2.6	CCSM4	1.5	2070	6	6	1	Allen2016NamericaPlantsYSDMNNNNNNNNNNNNoneRCP2.6CCSM41.520701	0.5	1	0	0.875
New	Allen	2016	Allen2016	Namerica	Plants	N	N	N	N	Y	N	Y	N	Y	Y	SDM	N	N	N	N	N	N	N	N	N	N	N	None	RCP2.6	HadGEM2-AO	1.64	2050	6	6	1	Allen2016NamericaPlantsYSDMNNNNNNNNNNNNoneRCP2.6HadGEM2-AO1.6420501	0.611111111	1	0.166666667	0.908333333
New	Allen	2016	Allen2016	Namerica	Plants	N	N	N	N	Y	N	Y	N	Y	Y	SDM	N	N	N	N	N	N	N	N	N	N	N	None	RCP2.6	HadGEM2-AO	1.52	2070	6	6	1	Allen2016NamericaPlantsYSDMNNNNNNNNNNNNoneRCP2.6HadGEM2-AO1.5220701	0.5	0.666666667	0.166666667	0.641666667
New	Allen	2016	Allen2016	Namerica	Plants	N	N	N	N	Y	N	Y	N	Y	Y	SDM	N	N	N	N	N	N	N	N	N	N	N	None	RCP8.5	CCSM4	2.61	2050	6	6	1	Allen2016NamericaPlantsYSDMNNNNNNNNNNNNoneRCP8.5CCSM42.6120501	0.722222222	1	0.333333333	0.941666667
New	Allen	2016	Allen2016	Namerica	Plants	N	N	N	N	Y	N	Y	N	Y	Y	SDM	N	N	N	N	N	N	N	N	N	N	N	None	RCP8.5	CCSM4	3.88	2070	6	6	1	Allen2016NamericaPlantsYSDMNNNNNNNNNNNNoneRCP8.5CCSM43.8820701	0.888888889	1	0.666666667	0.983333333
New	Allen	2016	Allen2016	Namerica	Plants	N	N	N	N	Y	N	Y	N	Y	Y	SDM	N	N	N	N	N	N	N	N	N	N	N	None	RCP8.5	HadGEM2-AO	2.26	2050	6	6	1	Allen2016NamericaPlantsYSDMNNNNNNNNNNNNoneRCP8.5HadGEM2-AO2.2620501	0.777777778	1	0.333333333	0.966666667
New	Allen	2016	Allen2016	Namerica	Plants	N	N	N	N	Y	N	Y	N	Y	Y	SDM	N	N	N	N	N	N	N	N	N	N	N	None	RCP8.5	HadGEM2-AO	3.52	2070	6	6	1	Allen2016NamericaPlantsYSDMNNNNNNNNNNNNoneRCP8.5HadGEM2-AO3.5220701	1	1	1	1
New	Amoussou	2022	Amoussou2022	Africa	Plants	N	N	Y	Y	N	N	N	N	Y	Y	SDM	N	N	N	N	N	N	N	N	N	N	N	Fixed	RCP4.5	IPCC2013	2.26	2085	40	40	1	Amoussou2022AfricaPlantsYSDMNNNNNNNNNNNFixedRCP4.5IPCC20132.2620851	0	0	0	0
New	Amoussou	2022	Amoussou2022	Africa	Plants	N	N	Y	Y	N	N	N	N	Y	Y	SDM	N	N	N	N	N	N	N	N	N	N	N	Fixed	RCP8.5	IPCC2013	3.72	2085	40	40	1	Amoussou2022AfricaPlantsYSDMNNNNNNNNNNNFixedRCP8.5IPCC20133.7220851	0.208333333	0.325	0.1	0.295
New	Amoussou	2022	Amoussou2022	Africa	Plants	N	N	Y	Y	N	N	N	N	Y	Y	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	RCP4.5	IPCC2013	2.26	2085	40	40	1	Amoussou2022AfricaPlantsYSDMNNNNNNNNNNNUniversalRCP4.5IPCC20132.2620851	0	0	0	0
New	Amoussou	2022	Amoussou2022	Africa	Plants	N	N	Y	Y	N	N	N	N	Y	Y	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	RCP8.5	IPCC2013	3.72	2085	40	40	1	Amoussou2022AfricaPlantsYSDMNNNNNNNNNNNUniversalRCP8.5IPCC20133.7220851	0.1	0.2	0	0.175
Original	Anciaes	2006	Anciaes2006	World	Birds	N	N	Y	Y	N	N	N	N	N	Y	SDM	N	N	N	N	N	N	N	N	N	N	Y	None	A2/B2	"CGCM2,HadCM3"	2.01	2055	49	49	1	"Anciaes2006WorldBirdsYSDMNNNNNNNNNNYNoneA2/B2CGCM2,HadCM32.0120551"	0.153061224	0.224489796	0.081632653	0.217346939
Original	Anderson	2009	Anderson2009	Europe	Mammals	N	N	N	Y	Y	N	S	S	N	Y	Mechanistic	Y	N	Y	N	N	N	N	Y	N	N	N	SpSpecific	A2	HadCM3	4.04	2100	1	1	2	Anderson2009EuropeMammalsYMechanisticYNYNNNNYNNNSpSpecificA2HadCM34.0421002	0	0	0	0
Original	Anderson	2009	Anderson2009	Namerica	Mammals	N	N	N	Y	Y	N	S	S	N	Y	Mechanistic	Y	N	Y	N	N	N	N	Y	N	N	N	SpSpecific	A2	HadCM3	4.04	2100	1	1	1	Anderson2009NamericaMammalsYMechanisticYNYNNNNYNNNSpSpecificA2HadCM34.0421001	0.333333333	1	0	0.8
New	Andres	2021	Andres2021	AustraliaNewZealand	Plants	N	N	Y	N	N	N	N	N	N	Y	Hybrid	N	N	N	N	N	N	N	Y	N	N	Y	SpSpecific	SSP1-2.6	IPCC2021	1.94	2060	8	8	1	Andres2021AustraliaNewZealandPlantsYHybridNNNNNNNYNNYSp-specificSSP1-2.6IPCC20211.9420601	0.083333333	0.25	0	0.2
New	Andres	2021	Andres2021	AustraliaNewZealand	Plants	N	N	Y	N	N	N	N	N	N	Y	Hybrid	N	N	N	N	N	N	N	Y	N	N	Y	SpSpecific	SSP2-4.5	IPCC2021	2.36	2060	8	8	1	Andres2021AustraliaNewZealandPlantsYHybridNNNNNNNYNNYSp-specificSSP2-4.5IPCC20212.3620601	0.125	0.375	0	0.3
New	Andres	2021	Andres2021	AustraliaNewZealand	Plants	N	N	Y	N	N	N	N	N	N	Y	SDM	N	N	N	N	N	N	N	N	N	N	Y	Universal	SSP1-2.6	IPCC2021	1.94	2060	8	8	1	Andres2021AustraliaNewZealandPlantsYSDMNNNNNNNNNNYUniversalSSP1-2.6IPCC20211.9420601	0.083333333	0.25	0	0.2
New	Andres	2021	Andres2021	AustraliaNewZealand	Plants	N	N	Y	N	N	N	N	N	N	Y	SDM	N	N	N	N	N	N	N	N	N	N	Y	Universal	SSP2-4.5	IPCC2021	2.36	2060	8	8	1	Andres2021AustraliaNewZealandPlantsYSDMNNNNNNNNNNYUniversalSSP2-4.5IPCC20212.3620601	0.125	0.375	0	0.3
New	Andriamasimanana	2013	Andriamasimanana2013	Africa	Birds	N	N	Y	Y	N	N	S	Y	Y	Y	SDM	N	N	N	N	N	N	N	N	N	N	Y	Universal	B2	HadCM3	1.59	2050	9	9	1	Andriamasimanana2013AfricaBirdsYSDMNNNNNNNNNNYUniversalB2HadCM31.5920501	0.37037037	0.555555556	0.111111111	0.516666667
New	Aragon	2017	Aragon2017	Namerica	Plants	N	N	N	N	Y	N	N	N	Y	Y	Mechanistic	N	N	N	N	N	N	N	Y	N	N	N	Universal	1.9C	NA	1.9	NA	3	3	1	Aragon2017NamericaPlantsYMechanisticNNNNNNNYNNNUniversal1.9CNA1.9NA1	1	1	1	1
Original	Araujo	2004	Araujo2004	Europe	Plants	N	N	N	N	Y	Y	S	S	N	N	SDM	N	N	N	N	N	N	N	N	N	N	N	None	A1Fi	HadCM3	2.32	2050	1200	1200	1	Araujo2004EuropePlantsNSDMNNNNNNNNNNNNoneA1FiHadCM32.3220501	0.064166667	0.064166667	0.064166667	0.064166667
Original	Araujo	2004	Araujo2004	Europe	Plants	N	N	N	N	Y	Y	S	S	N	N	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	A1Fi	HadCM3	2.32	2050	1200	1200	1	Araujo2004EuropePlantsNSDMNNNNNNNNNNNUniversalA1FiHadCM32.3220501	0.048333333	0.048333333	0.048333333	0.048333333
New	Arias	2021	Arias2021	Samerica	Mammals	N	N	N	Y	N	N	N	N	Y	Y	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	RCP4.5	HadGEM2-ES	2.13	2050	2	2	1	Arias2021SamericaMammalsYSDMNNNNNNNNNNNUniversalRCP4.5HadGEM2-ES2.1320501	0	0	0	0
New	Arias	2021	Arias2021	Samerica	Mammals	N	N	N	Y	N	N	N	N	Y	Y	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	RCP4.5	MIROC5	2.87	2050	2	2	1	Arias2021SamericaMammalsYSDMNNNNNNNNNNNUniversalRCP4.5MIROC52.8720501	0	0	0	0
New	Arias	2021	Arias2021	Samerica	Mammals	N	N	N	Y	N	N	N	N	Y	Y	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	RCP8.5	HadGEM2-ES	2.65	2050	2	2	1	Arias2021SamericaMammalsYSDMNNNNNNNNNNNUniversalRCP8.5HadGEM2-ES2.6520501	0	0	0	0
New	Arias	2021	Arias2021	Samerica	Mammals	N	N	N	Y	N	N	N	N	Y	Y	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	RCP8.5	MIROC5	3.25	2050	2	2	1	Arias2021SamericaMammalsYSDMNNNNNNNNNNNUniversalRCP8.5MIROC53.2520501	0	0	0	0
New	Assis	2018	Assis2018	Marine	Plants	N	N	N	N	Y	Y	N	N	N	Y	SDM	N	N	N	N	N	N	N	N	N	N	Y	Universal	RCP2.6	CCSM4+MIROC5	1.57	2100	8	8	1	Assis2018MarinePlantsYSDMNNNNNNNNNNYUniversalRCP2.6CCSM4+MIROC51.5721001	0	0	0	0
New	Assis	2018	Assis2018	Marine	Plants	N	N	N	N	Y	Y	N	N	N	Y	SDM	N	N	N	N	N	N	N	N	N	N	Y	Universal	RCP8.5	CCSM4+MIROC5	5	2100	8	8	1	Assis2018MarinePlantsYSDMNNNNNNNNNNYUniversalRCP8.5CCSM4+MIROC5521001	0	0	0	0
New	Attore	2011	Attore2011	Europe	Plants	N	N	N	N	Y	N	S	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	A2	HadCM3	1.92	2045	27	27	1	Attore2011EuropePlantsNSDMNNNNNNNNNNNUniversalA2HadCM31.9220451	0	0	0	0
New	Attore	2011	Attore2011	Europe	Plants	N	N	N	N	Y	N	S	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	A2	HadCM3	3.64	2085	27	27	1	Attore2011EuropePlantsNSDMNNNNNNNNNNNUniversalA2HadCM33.6420851	0.024691358	0.037037037	0	0.035185185
New	Attore	2018	Attore2018	Europe	Plants	N	N	N	N	Y	N	S	N	N	N	Hybrid	N	N	N	N	N	N	N	N	N	N	Y	SpSpecific	"RCP2.6,8.5"	HadGEM2-AO	2.24	2060	37	37	1	"Attore2018EuropePlantsNHybridNNNNNNNNNNYSp-specificRCP2.6,8.5HadGEM2-AO2.2420601"	0.009009009	0.027027027	0	0.021621622
New	Attore	2018	Attore2018	Europe	Plants	N	N	N	N	Y	N	S	N	N	N	Hybrid	N	N	N	N	N	N	N	N	N	N	Y	SpSpecific	RCP2.6	HadGEM2-AO	1.64	2050	37	37	1	Attore2018EuropePlantsNHybridNNNNNNNNNNYSp-specificRCP2.6HadGEM2-AO1.6420501	0	0	0	0
New	Attore	2018	Attore2018	Europe	Plants	N	N	N	N	Y	N	S	N	N	N	Hybrid	N	N	N	N	N	N	N	N	N	N	Y	SpSpecific	RCP2.6	HadGEM2-AO	1.52	2070	37	37	1	Attore2018EuropePlantsNHybridNNNNNNNNNNYSp-specificRCP2.6HadGEM2-AO1.5220701	0	0	0	0
New	Attore	2018	Attore2018	Europe	Plants	N	N	N	N	Y	N	S	N	N	N	Hybrid	N	N	N	N	N	N	N	N	N	N	Y	SpSpecific	RCP8.5	HadGEM2-AO	2.26	2050	37	37	1	Attore2018EuropePlantsNHybridNNNNNNNNNNYSp-specificRCP8.5HadGEM2-AO2.2620501	0	0	0	0
New	Attore	2018	Attore2018	Europe	Plants	N	N	N	N	Y	N	S	N	N	N	Hybrid	N	N	N	N	N	N	N	N	N	N	Y	SpSpecific	RCP8.5	HadGEM2-AO	3.52	2070	37	37	1	Attore2018EuropePlantsNHybridNNNNNNNNNNYSp-specificRCP8.5HadGEM2-AO3.5220701	0	0	0	0
New	Avalos	2015	Avalos2015	Samerica	Birds	N	N	N	Y	N	N	Y	N	Y	Y	SDM	N	N	N	N	N	N	N	N	N	N	N	None	A1B	CSIROMK2	3.09	2080	21	21	1	Avalos2015SamericaBirdsYSDMNNNNNNNNNNNNoneA1BCSIROMK23.0920801	0.253968254	0.619047619	0	0.516666667
New	Avalos	2015	Avalos2015	Samerica	Birds	N	N	N	Y	N	N	Y	N	Y	Y	SDM	N	N	N	N	N	N	N	N	N	N	N	None	A1B	HadCM3	3.12	2080	21	21	1	Avalos2015SamericaBirdsYSDMNNNNNNNNNNNNoneA1BHadCM33.1220801	0.063492063	0.142857143	0	0.121428571
New	Avalos	2015	Avalos2015	Samerica	Birds	N	N	N	Y	N	N	Y	N	Y	Y	SDM	N	N	N	N	N	N	N	N	N	N	N	None	A2	CSIROMK2	3.4	2080	21	21	1	Avalos2015SamericaBirdsYSDMNNNNNNNNNNNNoneA2CSIROMK23.420801	0.26984127	0.714285714	0	0.585714286
New	Avalos	2015	Avalos2015	Samerica	Birds	N	N	N	Y	N	N	Y	N	Y	Y	SDM	N	N	N	N	N	N	N	N	N	N	N	None	A2	HadCM3	3.38	2080	21	21	1	Avalos2015SamericaBirdsYSDMNNNNNNNNNNNNoneA2HadCM33.3820801	0.095238095	0.19047619	0	0.166666667
New	Avalos	2015	Avalos2015	Samerica	Birds	N	N	N	Y	N	N	Y	N	Y	Y	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	A1B	CSIROMK2	3.09	2080	21	21	1	Avalos2015SamericaBirdsYSDMNNNNNNNNNNNUniversalA1BCSIROMK23.0920801	0.158730159	0.476190476	0	0.380952381
New	Avalos	2015	Avalos2015	Samerica	Birds	N	N	N	Y	N	N	Y	N	Y	Y	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	A1B	HadCM3	3.12	2080	21	21	1	Avalos2015SamericaBirdsYSDMNNNNNNNNNNNUniversalA1BHadCM33.1220801	0.031746032	0.095238095	0	0.076190476
New	Avalos	2015	Avalos2015	Samerica	Birds	N	N	N	Y	N	N	Y	N	Y	Y	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	A2	CSIROMK2	3.4	2080	21	21	1	Avalos2015SamericaBirdsYSDMNNNNNNNNNNNUniversalA2CSIROMK23.420801	0.174603175	0.523809524	0	0.419047619
New	Avalos	2015	Avalos2015	Samerica	Birds	N	N	N	Y	N	N	Y	N	Y	Y	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	A2	HadCM3	3.38	2080	21	21	1	Avalos2015SamericaBirdsYSDMNNNNNNNNNNNUniversalA2HadCM33.3820801	0.079365079	0.19047619	0	0.15952381
